family,method,eligible,image_id,fold_id,target_class,seed_agreement,tta_view_agreement,original_target_probability,road_combined,road_morf_auc,road_lerf_auc,road_random_auc,road_gap_auc,deletion_auc,insertion_auc,random_deletion_auc,selectivity_gap,faithfulness_spearman
convnext_small,integrated_gradients,True,227482,1,1,0.9456273365377278,,0.7290118932723999,0.03850710391998291,0.6386188417673111,0.70675328373909,0.5703495368361473,0.06813444197177887,0.43224956467747694,0.5224320523440837,0.4346312485635281,0.0023816838860511447,0.5088235294117647
convnext_small,gradcam,True,227482,1,1,0.6038709463810077,0.9042480091553822,0.7290118932723999,0.11664833625157674,0.5439233742654322,0.782712910324335,0.5703495368361473,0.23878953605890274,0.4022384621202946,0.7163323991000652,0.4346312485635281,0.03239278644323346,-0.21470588235294116
convnext_small,hirescam,True,227482,1,1,0.6039066611778762,0.9042570801089966,0.7290118932723999,0.11664833625157674,0.5439233742654322,0.782712910324335,0.5703495368361473,0.23878953605890274,0.4022384621202946,0.7163323991000652,0.4346312485635281,0.03239278644323346,-0.21470588235294116
convnext_small,integrated_gradients,True,76547,1,0,0.9019440947585258,,0.7647734880447388,0.29101794875330395,0.22043765708804133,0.8268614374101163,0.5738262953236698,0.606423780322075,0.2324891120195389,0.7556629747152328,0.5125249415636063,0.28003582954406736,0.15882352941176472
convnext_small,gradcam,True,76547,1,0,0.9313095346463974,0.9604653119012921,0.7647734880447388,0.38295346643361783,0.09413207741454242,0.8839219212532042,0.5738262953236698,0.7897898438386618,0.18791462555527688,0.7014785379171372,0.5125249415636063,0.3246103160083294,0.4705882352941176
convnext_small,hirescam,True,76547,1,0,0.9313093916541272,0.9604655845181685,0.7647734880447388,0.38318117935624385,0.09413207741454242,0.884434275329113,0.5738262953236698,0.7903021979145706,0.18791462555527688,0.7014785379171372,0.5125249415636063,0.3246103160083294,0.4705882352941176
convnext_small,integrated_gradients,True,393569,1,0,0.9434803444724191,,0.6719546318054199,0.2661155139406522,0.1819183314219117,0.7139085046947002,0.4745918549597263,0.5319901732727885,0.25934331491589546,0.6757691644132138,0.6020905129611492,0.3427471980452538,0.2911764705882353
convnext_small,gradcam,True,393569,1,0,0.6347767902185909,0.8572075411201512,0.6719546318054199,0.34473346546292305,0.15681779012084007,0.8585599698126315,0.4745918549597263,0.7017421796917914,0.24829808548092838,0.7024288199841976,0.6020905129611492,0.3537924274802209,0.32647058823529407
convnext_small,hirescam,True,393569,1,0,0.6347287888861722,0.8573496304548652,0.6719546318054199,0.34473346546292305,0.15681779012084007,0.8585599698126315,0.4745918549597263,0.7017421796917914,0.24829808548092838,0.7024288199841976,0.6020905129611492,0.3537924274802209,0.32647058823529407
convnext_small,integrated_gradients,True,482436,1,0,0.9256997692072938,,0.6090888381004333,0.20655329980783993,0.20542436651885507,0.6368508264422416,0.5131447119638324,0.43142645992338646,0.3010079920291901,0.5901356279850007,0.5035918623209,0.20258387029170993,-0.044117647058823525
