image_id,label,cv_row_id,fold_id,selection_key
227482,walking_running,161,1,00f22d16ce87fc88c11f467b9503df6bc9634f8e29813575425ecc5eb6b156d2
76547,sitting,220,1,06fa623e85ab4320c01645d24534796598722afa55c3c3a691281da48fc4390e
393569,sitting,115,1,1776bc460cbaa03908451c3afe73a50f669ef9a8114ddc29a88813eb14baceb0
482436,standing,205,1,1b0f98fdaf0f7a8b6c8a25df4185efad8fab5b37e6abe5f257645b837f7dad6a
183675,sitting,53,1,1d7690d944433cee9b9f2e19a730e42efea84215f44e508b7f931bdc33391116
512836,walking_running,17,1,261a264acfdb2fa47a97c5641d78c4c68ff33cef5cee589a7df34116bfe72db5
522889,walking_running,72,1,28c02f5ce4e38cb9506eb6f79226bf53d4343bf9225fee28a6c33bca8d6d6fe8
172877,sitting,141,2,057a011705c259190f6306c463435b8ef835df310fac07d9fa9d04f74cf56596
511076,sitting,173,2,0d066dcc75445d46d5fc5d3d7ef89201cb5388894e892419e203e11f2732c073
474293,walking_running,192,2,0da06c34ee9c3dc63507f8e90c78b80cdaeec719efdca58971e154031eb99699
403565,standing,24,2,0de95331e1b341589562f11c5e5f4aa40dc034531f9bf589c71fa9872c278c86
295713,sitting,11,2,0e1c7a70b988d4584779533bab040992ec39bfd1363e848c7af508c1a5de23d5
477689,standing,92,2,17838a993e200767c711292c670ee17ec498cff0ca4b61f4779b13d9d01d62c8
18491,walking_running,174,2,2d907bed9d11655c40123773e1dbcd5b38d0010d7a191b64ce748421f7187a4c
29397,standing,121,3,00d65e5f51a21c851c91a5868835388175fbe2e7428ead4e6049ac3beeba2ff8
52507,walking_running,175,3,01b0063a45b58abc740b9487b39fd0114611e7b5e0838cb67eae01b94e579706
94326,sitting,119,3,096379376084a435487f469e6b3b4fd02fbdc6fa62eb8b9a19d33c2c5af092e0
481573,standing,52,3,0eb8ef1593d54766947804dadbf2119c325105d7c3d59341f3459795e432306b
103548,walking_running,57,3,134b010b5b7cf1edebb3dc5218aabacb1de78b76ea32a8c0d1cc738c54e37c34
515025,sitting,132,3,17f6ffafe9481fee06b202da32edaa2e8a9a86cfd2c371c0a9e6fbf61cf353e3
360960,walking_running,39,3,29b92f25f8e92a234d559c31685ee8727967d2b0d46f5fef5cfca48c11af1ae0
60347,sitting,46,4,0213a6011a67b5e122ebb004c5dbc949eda844fe8eeac938788069f5a4c8a098
386912,sitting,1,4,046794e27b28644d063c632589b4d6e3601b4b1f962e8492704898f5a79cc450
198928,standing,159,4,0a09c0c958497f8b9df6dde99ac26e7cc36c860153f3f72b98e774dab8607913
329219,standing,8,4,0d1a433082c4d18149fdfd4f9755563643b745df98f5c2fcdc5d3e684e03b21d
527750,standing,179,4,15305976ef4f1527245b1d5ced7af9a0b61740b60919f797947a98d738096313
273132,sitting,12,4,16763e0509ff255d4ec05314fcab0b5b27f0b77124a86fce2f98eae223485f17
47819,standing,156,4,20cc32bd131bc028459cbc04865a7e2efff9007c634e74c18be36022f97f7b9b
540466,walking_running,213,4,272e7ce7704023cd9edc6e57584a95340988729178c0980fea5e13f44499a721
372819,walking_running,44,4,2a7da98084d5ceee876539d410bcfa6325a2ec34d1fac97f0e931e5c3481c10b
474095,sitting,158,5,093687fed7ec963e95492818f6c554e81699deac43b3a29d7ee734d12c57431c
476514,standing,191,5,11f37b90708b065c126fa1f35843564d692fa446f4ec462af793cb7486d43e85
257896,standing,85,5,15eb96a1902f0f32e2faa2b0b02dc762dfca5f48c564d455b82c6ee7b2813e0e
529939,walking_running,187,5,180c51cc2f4b40015fca4975f50a1eed5d1ed75811a6421d5df8bd576a78af70
346703,standing,139,5,278be396c099fc733d9e9f131d01416113b26b4e47a8e5c97759271e2702015d
567640,walking_running,40,5,29d66ca79f4a334f4d179b3b9796b711927990c4f6d5a2d801075cf1e994f99e
